kelime;anlam;lowercase;tokens;lemmas;stemmed
Gündöndü;Ayçiçeğiçekirdek;ayçiçeğiçekirdek;ayçiçeğiçekirdek;ayçiçeğiçekirdek;ayçiçeğiçekirdek
Dee UrdaDee ha;Taa orada;taa orada;orada taa;orada taa;ora ta
Iscak;Sıcak;sıcak;sıcak;sıcak;sıcak
Aha Boo;İşte bu;bu i̇şte;i̇şte;i̇şte;i̇şte
Emme;Ama.Fakat;ama fakat;fakat;fakat;fakat
Çekişmek;Kavga etmek;kavga etmek;etmek kavga;etmek kavga;etmek kavg
Cereme;CezaKülfet;cezakülfet;cezakülfet;cezakülfet;cezakülfet
Gayıl olmak;Razı olmak;olmak razı;olmak razı;olmak razı;olmak raz
Sası;YavanTuzsuz.;yavantuzsuz;yavantuzsuz;yavantuzsuz;yavantuzs
Avara;Gevşek.İşe yaramaz;gevşek i̇şe yaramaz;gevşek i̇şe yaramaz;gevşek i̇şe yaramaz;gevşek i̇şe yaramaz
Apışmak;Öylece kalakalmak;kalakalmak öylece;kalakalmak öylece;kalakalmak öylece;kalakalmak öyle
BöğürBörün;Göğüs.Gövde;göğüs gövde;gövde göğüs;gövde göğüs;göv göğüs
Bürünmek;Örtünmek;örtünmek;örtünmek;örtünmek;örtünmek
Çıngırdak;ZilÇan;zilçan;zilçan;zilçan;zilçan
Çapıt;ÇaputBez;çaputbez;çaputbez;çaputbez;çaputbez
Çıkı;Mendil yada bezden Torba;mendil torba bezden yada;bezden mendil torba yada;bezden mendil torba yada;bez mendil torp ya
Dürü;Gelin Hediye bohçası;gelin hediye bohçası;bohçası gelin hediye;bohçası gelin hediye;bohça gel hedi
Ecinni;ŞeytanCin;şeytancin;şeytancin;şeytancin;şeytanci
Engücü;Eninde sonundanasıl olsa;olsa sonundanasıl eninde;eninde olsa sonundanasıl;eninde olsa sonundanasıl;enin ols sonundanasıl
Erinmek;Üşenmek;üşenmek;üşenmek;üşenmek;üşenmek
Gaçıl;Kenara çekil;kenara çekil;kenara çekil;kenara çekil;kenar çekil
Havas;HevesMerak;hevesmerak;hevesmerak;hevesmerak;hevesmerak
Hırt;Olgunlaşmamışçiğ;olgunlaşmamışçiğ;olgunlaşmamışçiğ;olgunlaşmamışçiğ;olgunlaşmamışçiğ
Hinci;Şimdi;şimdi;şimdi;şimdi;şimt
Gav gibi;Hafif;hafif;hafif;hafif;hafif
Masus;Şaka;şaka;şaka;şaka;şak
Mayışmak;Gevşemek;gevşemek;gevşemek;gevşemek;gevşemek
Muzur;Aksi yaramazafacan çocuk;çocuk aksi yaramazafacan;aksi yaramazafacan çocuk;aksi yaramazafacan çocuk;aksi yaramazafacan çocuk
Müdane;MinnetTenezzül;minnettenezzül;minnettenezzül;minnettenezzül;minnettenezzül
Narasın;Ne arasın?..Yokmevcut değil;arasın yokmevcut değil ne;arasın değil yokmevcut;arasın değil yokmevcut;ara değil yokmevcut
Sumsuk;Yumruk;yumruk;yumruk;yumruk;yumruk
Süsmek;Büyükbaş hayvanların insanı boynuzuyla iteklemesi;büyükbaş iteklemesi insanı boynuzuyla hayvanların;boynuzuyla büyükbaş hayvanların insanı iteklemesi;boynuzuyla büyükbaş hayvanların insanı iteklemesi;boynuz büyükbaş hayvan insan itekleme
Şinik;Tahıl ölçeği;tahıl ölçeği;tahıl ölçeği;tahıl ölçeği;tahıl ölçek
Marma;Havlu (eskiler derdigençler pek bilmez);havlu eskiler bilmez derdigençler pek;bilmez derdigençler eskiler havlu pek;bilmez derdigençler eskiler havlu pek;bilmez derdigenç eski havlu pek
Urba;Elbise;elbise;elbise;elbise;elbise
Yüklük;Yatak yorganın yığıldığı dolap veya yer;yorganın veya yatak yer dolap yığıldığı;dolap yatak yer yorganın yığıldığı;dolap yatak yer yorganın yığıldığı;dolap yatak yer yorga yığıldık
Zıbarmak;Uyumak;uyumak;uyumak;uyumak;uyumak
Emmi;Amca (yeni nesiller artık Emmi hitabını kullanmıyor);yeni hitabını kullanmıyor nesiller amca emmi artık;amca artık emmi hitabını kullanmıyor nesiller yeni;amca artık emmi hitabını kullanmıyor nesiller yeni;am ar emm hitap kullanmıyor nesil yen
Goyve;Koyuverbırakıver;koyuverbırakıver;koyuverbırakıver;koyuverbırakıver;koyuverbırakıver
Baken;Bakayım;bakayım;bakayım;bakayım;baka
Dartvicenmi;Tartıverecekmisin (pazarda);pazarda tartıverecekmisin;pazarda tartıverecekmisin;pazarda tartıverecekmisin;pazar tartıverecek
Alvicenizmi;Alıverecekmisiniz;alıverecekmisiniz;alıverecekmisiniz;alıverecekmisiniz;alıverecek
Açıvicenizmi;Açıverecekmisiniz;açıverecekmisiniz;açıverecekmisiniz;açıverecekmisiniz;açıverecek
Nolcek;Ne olacak;olacak ne;olacak;olacak;olacak
Nigada;Ne kadar;kadar ne;kadar;kadar;kadar
Musfa;Mustafa;mustafa;mustafa;mustafa;mustaf
Sadıç;Sağdıç;sağdıç;sağdıç;sağdıç;sağdıç
Kemkirmek;şımarmak;şımarmak;şımarmak;şımarmak;şımarmak
Badılcan;Patlıcan;patlıcan;patlıcan;patlıcan;patlıcan
Göveç;Güveç;güveç;güveç;güveç;güveç
Bönelek;Konuşmadan bön bön bakana denir.;bakana bön denir konuşmadan;bakana bön denir konuşmadan;bakana bön denir konuşmadan;bakan bön denir konuşma
Uluk;Bir işi beceremeyene denir.;denir bir beceremeyene işi;beceremeyene bir denir işi;beceremeyene bir denir işi;beceremeyen bir denir iş
Samsak;Sarımsak;sarımsak;sarımsak;sarımsak;sar
Örtme;Eskiden kadınların başlarına giydiği koyu renkli bir çeşit yöresel örtü;kadınların yöresel renkli eskiden bir çeşit koyu başlarına giydiği örtü;başlarına bir eskiden giydiği kadınların koyu renkli yöresel çeşit örtü;başlarına bir eskiden giydiği kadınların koyu renkli yöresel çeşit örtü;baş bir eski giydik kadın koy renk yöresel çeşit ört
Enteri;Entarigömlek;entarigömlek;entarigömlek;entarigömlek;entarigömlek
Bıza;Buzağı;buzağı;buzağı;buzağı;buzak
Malak;Manda yavrusu;manda yavrusu;manda yavrusu;manda yavrusu;man yavru
Gatık;Katık (kurutulmuş yoğurt.eski geleneksel yiyeceklerden);yoğurt eski kurutulmuş yiyeceklerden geleneksel katık;eski geleneksel katık kurutulmuş yiyeceklerden yoğurt;eski geleneksel katık kurutulmuş yiyeceklerden yoğurt;esk geleneksel katık kurutul yiyecek yoğurt
Alma;Elma;elma;elma;elma;elma
Yunmak;Yıkamak;yıkamak;yıkamak;yıkamak;yıkamak
Yülütmek;Traş ettirmek;ettirmek traş;ettirmek traş;ettirmek traş;ettirmek traş
TemmiçTemmiş;Sahur vakti (Ramazanda);sahur vakti ramazanda;ramazanda sahur vakti;ramazanda sahur vakti;ramazan sahur vakti
ÜleşmekÖleşmek;Paylaşmak;paylaşmak;paylaşmak;paylaşmak;paylaşmak
AbuuAboo;Çok aşırılığı ifade etmek için ünlem sözü.;ifade sözü çok için aşırılığı ünlem etmek;aşırılığı etmek ifade sözü ünlem;aşırılığı etmek ifade sözü ünlem;aşırılık etmek ifade söz ünle
Anız;Biçilen buğdayın tarlada kalan köklü sapı;biçilen tarlada köklü sapı kalan buğdayın;biçilen buğdayın kalan köklü sapı tarlada;biçilen buğdayın kalan köklü sapı tarlada;biçilen buğday kalan kökl sap tarla
An;Tarla sınırı;sınırı tarla;sınırı tarla;sınırı tarla;sınır tarla
Böğün;Bugün.;bugün;bugün;bugün;bugü
Barabar;Beraber.;beraber;beraber;beraber;beraber
Dıngılmak;Otururarak hafif yan yatmakyana yuvarlanmak;yatmakyana otururarak yuvarlanmak hafif yan;hafif otururarak yan yatmakyana yuvarlanmak;hafif otururarak yan yatmakyana yuvarlanmak;hafif otururarak yan yatmakyan yuvarlanmak
Fistan;Basmadan yapılan kadın elbisesi.;kadın elbisesi basmadan yapılan;basmadan elbisesi kadın yapılan;basmadan elbisesi kadın yapılan;basma elbise kat yapılan
Gara;Kara.Siyah;kara siyah;kara siyah;kara siyah;kar siyah
Gursak;Boğaz.Kursak;boğaz kursak;boğaz kursak;boğaz kursak;boğaz kur
Göynüm;Gönlüm.;gönlüm;gönlüm;gönlüm;gönl
Gıran;Salgın hastalıkKenar;salgın hastalıkkenar;hastalıkkenar salgın;hastalıkkenar salgın;hastalıkkenar salg
Garannık;Karanlık.;karanlık;karanlık;karanlık;karanlık
Garez;Kin.;kin;kin;kin;kin
Hadibakam;Hadi göreyim.;göreyim hadi;göreyim hadi;göreyim hadi;göre hadi
Hana;Hani Nerede?;nerede hani;hani;hani;hani
İcar;Toprak kirası.;kirası toprak;kirası toprak;kirası toprak;kira toprak
Köfün;Büyük sepet.;sepet büyük;büyük sepet;büyük sepet;büyük sepet
Gıt;KıtAz.;kıtaz;kıtaz;kıtaz;kıtaz
Kurdeşen;Allerji.;allerji;allerji;allerji;allerj
Galbır;Büyük gözenekli elek.;elek büyük gözenekli;büyük elek gözenekli;büyük elek gözenekli;büyük elek gözenek
Kile;Buğday ölçülen 12-14 kilo alan kab.;kilo alan kab buğday ölçülen;alan buğday kab kilo ölçülen;alan buğday kab kilo ölçülen;alan buğday kab kilo ölçülen
Gama;Ucu eğri ve sivri olan bıçak.;ucu eğri ve bıçak sivri olan;bıçak eğri olan sivri ucu;bıçak eğri olan sivri ucu;bıçak eğr olan sivr uç
Mintan;Sırta giyilen kısa elbise.;kısa sırta giyilen elbise;elbise giyilen kısa sırta;elbise giyilen kısa sırta;elbise giyilen kıs sır
Nacap;Nasıl?;nasıl;;;
Okka;Kilenin sekizde birini ifade eden ölçü kabı.;kabı birini ifade eden sekizde kilenin ölçü;birini eden ifade kabı kilenin sekizde ölçü;birini eden ifade kabı kilenin sekizde ölçü;bir e ifade kap kile sekiz ölçü
Paklamak;Temizlemek.;temizlemek;temizlemek;temizlemek;temizlemek
Potin;Bot.;bot;bot;bot;bot
Poçu;Atkı dolak.(Düğünlerde Damat ve şağdıcın omzuna takılır);ve omzuna şağdıcın damat takılır atkı dolak düğünlerde;atkı damat dolak düğünlerde omzuna takılır şağdıcın;atkı damat dolak düğünlerde omzuna takılır şağdıcın;atkı damat dolak düğün omz takılır şağdıç
Peşkir;ÖnlükMendil.;önlükmendil;önlükmendil;önlükmendil;önlükmendil
Seğitmek;Koşmak.;koşmak;koşmak;koşmak;koşmak
Zini;Sofrada üzerine yemek konulan geniş ve yuvarlaktepsi .;konulan ve sofrada geniş yuvarlaktepsi üzerine yemek;geniş konulan sofrada yemek yuvarlaktepsi üzerine;geniş konulan sofrada yemek yuvarlaktepsi üzerine;geniş konulan sofra yemek yuvarlakteps üzer
Velesbit;Bisiklet.;bisiklet;bisiklet;bisiklet;bisiklet
Zeree;Ondan dolayı mı? Ben farketmiştim zaten ..anlamında;farketmiştim dolayı ondan zaten ben anlamında mı;anlamında ben dolayı farketmiştim ondan zaten;anlamında ben dolayı farketmiştim ondan zaten;anlam ben dola farketmiş on zaten
Barak gafalı;Çok saçlı ve dağınık kafa;dağınık saçlı ve çok kafa;dağınık kafa saçlı;dağınık kafa saçlı;dağınık kaf saçl
Göğer;Sebzeyeşillik yiyecek;yiyecek sebzeyeşillik;sebzeyeşillik yiyecek;sebzeyeşillik yiyecek;sebzeyeşillik yiyecek
Çebiççepiş;1 yaşında keçi yavrusu;keçi yavrusu yaşında;keçi yavrusu yaşında;keçi yavrusu yaşında;keç yavru yaş
Tınlamıyor;Cansızhareketsiz;cansızhareketsiz;cansızhareketsiz;cansızhareketsiz;cansızharekets
Gocuk;Palto;palto;palto;palto;palto
Yamani eyi osun;Oh olsunMüstehaktır ona;ona oh olsunmüstehaktır;oh olsunmüstehaktır ona;oh olsunmüstehaktır ona;oh olsunmüstehak on
Şinik Gafalı;Koca Kafalı (Kafası büyük olan anlamında );anlamında koca kafalı büyük olan kafası;anlamında büyük kafalı kafası koca olan;anlamında büyük kafalı kafası koca olan;anlam büyük kafa koç olan
Mile;MisketBilye;misketbilye;misketbilye;misketbilye;misketbilye
Gara Gazoz;Coca-Cola nın yöresel tabiri;tabiri coca cola nın yöresel;coca cola nın tabiri yöresel;coca cola nın tabiri yöresel;col coç nın tabir yöresel
Beyaz Gazoz;Sade Gazoz;gazoz sade;gazoz sade;gazoz sade;gazoz sade
Püsgevit;Bisküi;bisküi;bisküi;bisküi;bisküi
İme;Emi (Tembih sözü);sözü emi tembih;emi sözü tembih;emi sözü tembih;em söz tembih
Zartlak;ŞişkoŞişman;şişkoşişman;şişkoşişman;şişkoşişman;şişkoşişman
Mıymıntı;Ağır davrananbeceriksiz;davrananbeceriksiz ağır;ağır davrananbeceriksiz;ağır davrananbeceriksiz;ağır davrananbeceriks
Yedek;Çay demliğiSu demliği anlamında;anlamında demliğisu demliği çay;anlamında demliği demliğisu çay;anlamında demliği demliğisu çay;anlam demlik demliğisu çay
Gorcu;Köy Korucusu;köy korucusu;korucusu köy;korucusu köy;korucu köy
Vesayit;VasıtaAraç;vasıtaaraç;vasıtaaraç;vasıtaaraç;vasıtaaraç
Çay guymak;Çay koymak(başka yörelerde çay dökmekte denir);koymak başka yörelerde dökmekte çay denir çay;başka denir dökmekte koymak yörelerde çay;başka denir dökmekte koymak yörelerde çay;başka denir dökmek koymak yöre çay
"Yöresel Kelimelerimiz ve Anlamları 
 
 
A 
A 'am";Ağabey;ağabey;ağabey;ağabey;ağabey
Abdal  Aşı;Karışık;karışık;karışık;karışık;karışık
Abdal;Çingene;çingene;çingene;çingene;çingen
Acer;Yeni;yeni;yeni;yeni;yen
Acık;Biraz , Azıcık;biraz azıcık;azıcık biraz;azıcık biraz;azıcık biraz
Acışmak;Acı duymak;acı duymak;acı duymak;acı duymak;aç duymak
Açacak;Kapı kilidi/Anahtar;kilidi anahtar kapı;anahtar kapı kilidi;anahtar kapı kilidi;anahtar kap kili
Adıbeli;Bari;bari;bari;bari;bari
Ağız;Kesik süt;kesik süt;kesik süt;kesik süt;kesik süt
Aha;Yakında;yakında;yakında;yakında;yak
Akraz;Ahraz /Dilsiz;dilsiz ahraz;ahraz dilsiz;ahraz dilsiz;ahraz dils
Akkeze;Baston;baston;baston;baston;baston
Alayı;Hepsi /Tümü;tümü hepsi;tümü;tümü;tüm
Allefçi;Tahıl eleyen kimselere verilen isim;tahıl isim verilen kimselere eleyen;eleyen isim kimselere tahıl verilen;eleyen isim kimselere tahıl verilen;eleyen is kimse tahıl verilen
Amadan;Tepsi;tepsi;tepsi;tepsi;teps
Ambelbeter;Bundan daha kötü;kötü bundan daha;bundan kötü;bundan kötü;bun kötü
Angeslek;Bilerek/Kasten;bilerek kasten;bilerek kasten;bilerek kasten;bilerek kasten
Apal;Ağaçta iki dalın birleştiği yer;dalın iki ağaçta birleştiği yer;ağaçta birleştiği dalın iki yer;ağaçta birleştiği dalın iki yer;ağaç birleştik dal ik yer
Arasa;Tahıl satılan yer;tahıl satılan yer;satılan tahıl yer;satılan tahıl yer;satılan tahıl yer
Araya ( Ariye ) vermek;Birşeyin bozulması;bozulması birşeyin;birşeyin bozulması;birşeyin bozulması;birşey bozulma
Arbaha;Çarşamba;çarşamba;çarşamba;çarşamba;çarşamp
Arbet;Çirkin;çirkin;çirkin;çirkin;çirk
Arıp;Asma;asma;asma;asma;asm
Asas;Esas/Öz;esas öz;esas öz;esas öz;esas öz
Aspab;Günlük hayatta kişinin  üzerine giydiği elbise;elbise hayatta kişinin günlük üzerine giydiği;elbise giydiği günlük hayatta kişinin üzerine;elbise giydiği günlük hayatta kişinin üzerine;elbise giydik günlük hayat kişi üzer
Aşam;Akşam;akşam;akşam;akşam;akşa
Aşgün;Atkı/Boyun bağı;bağı atkı boyun;atkı bağı boyun;atkı bağı boyun;atkı bak boy
Avadanlık;Hediyelik eşya;eşya hediyelik;eşya hediyelik;eşya hediyelik;eşya hediyelik
Avra;Evli kadın;evli kadın;evli kadın;evli kadın;ev kat
Ayel;Hanım/Karı;hanım karı;hanım karı;hanım karı;han kar
Atepsiz;Doğacak bebeklere sağlıklı doğması için söylenen söz;söz doğacak söylenen için sağlıklı doğması bebeklere;bebeklere doğacak doğması sağlıklı söylenen söz;bebeklere doğacak doğması sağlıklı söylenen söz;bebek doğacak doğma sağlık söylenen söz
Ayret;Yakışmayan /uymayan;uymayan yakışmayan;uymayan yakışmayan;uymayan yakışmayan;uymayan yakışmayan
Azap;Bir yılık tarım işçisi;yılık bir tarım işçisi;bir işçisi tarım yılık;bir işçisi tarım yılık;bir işçi tar yılık
"Yöresel Kelimelerimiz ve Anlamları 
 
 
B 
Baa";Bana;bana;bana;bana;ban
Bakdeniz;Maydonoz;maydonoz;maydonoz;maydonoz;maydonoz
Balcan;Patlıcan;patlıcan;patlıcan;patlıcan;patlıcan
Balhımak;Sancımak;sancımak;sancımak;sancımak;sancımak
Barabar;Beraber;beraber;beraber;beraber;beraber
Bardak altı;Çatı katı;katı çatı;katı çatı;katı çatı;katı çat
Basamak;Sabit merdiven;sabit merdiven;merdiven sabit;merdiven sabit;merdiven sabit
Bastık;Pekmezin kurutulmasıyla  yapılan bir tür tatlı;kurutulmasıyla tatlı tür pekmezin yapılan bir;bir kurutulmasıyla pekmezin tatlı tür yapılan;bir kurutulmasıyla pekmezin tatlı tür yapılan;bir kurutulma pekmez tatl tür yapılan
Başire;Pazarlık;pazarlık;pazarlık;pazarlık;pazarlık
Bayakleyin;Biraz önce;biraz önce;biraz önce;biraz önce;biraz önç
Baynamak;Vermek ( Yöremizdeki  abdalların kullandığı söz);vermek yöremizdeki abdalların söz kullandığı;abdalların kullandığı söz vermek yöremizdeki;abdalların kullandığı söz vermek yöremizdeki;abdal kullandık söz vermek yöre
Bayramcalık;Bayram için alınan kıyafet;bayram için kıyafet alınan;alınan bayram kıyafet;alınan bayram kıyafet;alınan bayra kıyafet
Bazlama;Sacta pişirilen ekmek;ekmek sacta pişirilen;ekmek pişirilen sacta;ekmek pişirilen sacta;ekmek pişirilen saç
Beçare;Biçar/Çaresiz;biçar çaresiz;biçar çaresiz;biçar çaresiz;biçar çares
Beleş;Bedava;bedava;bedava;bedava;bedav
Belleda;Kirli suların aktığı kanal;kirli suların aktığı kanal;aktığı kanal kirli suların;aktığı kanal kirli suların;aktık kanal kirl su
Berduş;Boş gezen , Serseri;boş serseri gezen;boş gezen serseri;boş gezen serseri;boş gezen serser
Berkitmek;Sıkıştırmak;sıkıştırmak;sıkıştırmak;sıkıştırmak;sıkıştırmak
Bes;Sadece;sadece;sadece;sadece;sade
Beyle;Böyle;böyle;böyle;böyle;böyl
Bıçkı;Testere;testere;testere;testere;tester
Bıldır;Geçen sene;geçen sene;geçen sene;geçen sene;geçen sen
Bıldırkımı;Geçen seneki gibi;geçen gibi seneki;geçen seneki;geçen seneki;geçen senek
Bi  kelle;Bir kere;kere bir;bir kere;bir kere;bir ker
Bi sohum;Bir lokma;bir lokma;bir lokma;bir lokma;bir lokm
Bilot;Bu defa;bu defa;;;
Binan;Bir defa;bir defa;bir;bir;bir
Bön;Bugün;bugün;bugün;bugün;bugü
Börkmek;Malca durumu iyileşmek/Zenginleşmek;iyileşmek zenginleşmek malca durumu;durumu iyileşmek malca zenginleşmek;durumu iyileşmek malca zenginleşmek;dur iyileşmek malç zenginleşmek
Bum;Çocukluk dilinde '' Su''  anlamında kullanılır;anlamında çocukluk su kullanılır dilinde;anlamında dilinde kullanılır su çocukluk;anlamında dilinde kullanılır su çocukluk;anlam dil kullanılır su çocukluk
Buyan şerbeti;Meyan şerbeti;şerbeti meyan;meyan şerbeti;meyan şerbeti;meyan şerp
Buymak;Üşümek;üşümek;üşümek;üşümek;üşümek
Bük üzümü;Böğürtlen;böğürtlen;böğürtlen;böğürtlen;böğürtlen
"Yöresel Kelimelerimiz ve Anlamları 
 
 
C  
Cahal";Cahil;cahil;cahil;cahil;cahil
Cahannamın Dibi;Cehennemin  dibi (beddua);cehennemin beddua dibi;beddua cehennemin dibi;beddua cehennemin dibi;beddu cehenne dip
Calp;Sıvıların sıvılık derecesini belirten sıfat;sıvılık derecesini sıfat belirten sıvıların;belirten derecesini sıfat sıvıların sıvılık;belirten derecesini sıfat sıvıların sıvılık;belir derece sıfat sıvı sıvılık
Camız;Bir öküz çeşidi;bir öküz çeşidi;bir çeşidi öküz;bir çeşidi öküz;bir çeşi ök
Cardın;Büyük fare;fare büyük;büyük fare;büyük fare;büyük fare
Carıs;Rezil;rezil;rezil;rezil;rezil
