kelime;anlam;lowercase;tokens;lemmas;stemmed
Aval aval;Şaşkın şaşkın;şaşkın şaşkın;şaşkın;şaşkın;şaşk
Avarlık;Ticari olmayan sebze bahçesi.;bahçesi ticari sebze olmayan;bahçesi olmayan sebze ticari;bahçesi olmayan sebze ticari;bahçe olmayan sebz ticari
Avcar;Dolma tüfekleri atışa hazırlamak için kullanılan, kapsül, saçma, barut, kurşun;dolma saçma atışa tüfekleri kullanılan için kurşun barut hazırlamak kapsül;atışa barut dolma hazırlamak kapsül kullanılan kurşun saçma tüfekleri;atışa barut dolma hazırlamak kapsül kullanılan kurşun saçma tüfekleri;atış barut dolm hazırlamak kapsül kullanılan kurş saçm tüfek
Avırt;Yanak;yanak;yanak;yanak;yanak
Avrat;Kadın, eş, karı.;eş kadın karı;eş kadın karı;eş kadın karı;eş kar kat
Ayam ayama dolaşıyor;Başım dönüyor, halsizim;halsizim başım dönüyor;başım dönüyor halsizim;başım dönüyor halsizim;baş dönüyor halsiz
Ayaz;Soğuk.;soğuk;soğuk;soğuk;soğuk
Aydöşşeğe;Bir bitki türü;bir türü bitki;bir bitki türü;bir bitki türü;bir bitki tür
Ayı tapı;Bir bitki,eğrelti otu;bitki eğrelti bir otu;bir bitki eğrelti otu;bir bitki eğrelti otu;bir bitki eğrel ot
Aykırı;Tam tersi, aksi;aksi tam tersi;aksi tam tersi;aksi tam tersi;aksi tam ters
Azarlamak;Kızmak.;kızmak;kızmak;kızmak;kızmak
Azzık;Yiyecek.;yiyecek;yiyecek;yiyecek;yiyecek
Bacanak;Hanımın kız kardeşinin kocası.;kız hanımın kardeşinin kocası;hanımın kardeşinin kocası kız;hanımın kardeşinin kocası kız;han kardeş koca kız
Baldır;Bacak.;bacak;bacak;bacak;bacak
Baldırcan;Patlıcan;patlıcan;patlıcan;patlıcan;patlıcan
Baldız;Hanımın kız kardeşi.;kız hanımın kardeşi;hanımın kardeşi kız;hanımın kardeşi kız;han kardeş kız
Balk;Yıldırım;yıldırım;yıldırım;yıldırım;yıldır
Bambıl;Kokusu kötü bir böcek.;kötü böcek bir kokusu;bir böcek kokusu kötü;bir böcek kokusu kötü;bir böcek koku kötü
Baştangara;Bir çeşit serçe;bir çeşit serçe;bir serçe çeşit;bir serçe çeşit;bir serç çeşit
Bayır;Eğimli ve ağaçsız yer.;ve ağaçsız eğimli yer;ağaçsız eğimli yer;ağaçsız eğimli yer;ağaçs eğim yer
Bazlama;Yufka ekmeğin biraz kalın olanı: Sıcak bazlamanın yenilmesi çok hoştur.;bazlamanın kalın yufka biraz hoştur ekmeğin olanı yenilmesi çok sıcak;bazlamanın biraz ekmeğin hoştur kalın olanı sıcak yenilmesi yufka;bazlamanın biraz ekmeğin hoştur kalın olanı sıcak yenilmesi yufka;bazlama biraz ekmek hoş kal olan sıcak yenilme yufk
